"artifact_id","scientific_topic","repository_path","stage","SHA256","classification","paper_section","figure_panel","claim_ids","notes"
"SRC_C01","The M01 flow operator reproduces analytical fully developed flow and mass balance.","results/tables/M01_2_flow_analytic.csv","Methods","C07FE424C48D5D1BEE899A35BB66344D48F891795D21B070A00490FBBD7C21A0","VERIFIED_OPERATOR","Methods","F1a","C01","SUPPORTED"
"SRC_C02","The M02 conservative transport operator passes diffusion, MMS, and species-balance gates.","results/tables/M02_2_mms_convergence.csv","Methods","1723EAA691CB5A81C3539A693C736E52E847E635F580967865947473F8349AB5","VERIFIED_OPERATOR","Methods","F1a","C02","SUPPORTED"
"SRC_C03","The M03 current and Faraday operators close their numerical ledgers.","results/tables/M03A_3_current_conservation.csv","Methods","5D47A96E8CDA096F049BA4A6FCD30EA1699ED9ED5DFC0050EBC504C6830B88C9","VERIFIED_OPERATOR","Methods","F1a","C03","SUPPORTED"
"SRC_C04","The model uses accepted real CAD ancestry and named selections.","results/tables/M10_preA4_geometry_authority.csv","Geometry","AE0F3CF458701543F6527E1711AC32A89A174A632DE0F169A8F104F559F28D9E","REAL_CAD","Geometry","F2a","C04","SUPPORTED"
"SRC_C05","The authoritative reaction-plane area is 3844 mm2.","results/tables/M10A4_electrochemical_area_audit.csv","Geometry","276AF2EF7FDE4690B9EECC66590CC658FADF0E7D7E190235F72904FB20C014DF","REAL_CAD","Geometry","F2b","C05","SUPPORTED"
"SRC_C06","The accepted real-cell flow field is nonuniform and conservative.","results/tables/M10A3_N2_H2_flow_comparison.csv","Results","0E2BBD12E53046AEB0090D8FC55B6892B75CBF9D3EE1D222E339B345B09511F8","MODEL_EVIDENCE","Results",,"C06","SUPPORTED_WITH_MODEL_SCOPE"
"SRC_C07","The model resolves spatial N2 availability.","evidence/M10A3/n2_dissolved_real.png","Results","15D8043AF2A6E18F1FDCCB12207F7F5E90C312D4FF8921783BA897677FD7C1DD","MODEL_EVIDENCE","Results","F3a","C07","SUPPORTED_WITH_MODEL_SCOPE"
"SRC_C08","The donor field is a generic availability diagnostic.","evidence/M10A3/proton_donor_real.png","Results","1456B1A90FFC4A08BBD16C55B2A79EE730AFFBBC2F8FCB066774CD7A4A3B8D97","PROVISIONAL","Results","F3d","C08","SUPPORTED_WITH_LIMITATION"
"SRC_C09","Reduced Li+/BF4- transport is conservative and electroneutral.","results/tables/M10A4_ionic_species_conservation.csv","Results","EEDDBA6F44A1D9EF4BCAFE0ED18D8EEACCC139B6C79AEADBCC5BDD013FFD44A0","VERIFIED_NUMERICS","Results","F3b-c","C09","SUPPORTED"
"SRC_C10","The accepted current operator closes conservation to 1.80512328405505E-15.","results/tables/M10A4_charge_conservation.csv","Results","F014103B8DFD4A99663C82AFF06FA3F1D2208F3E469499826C1DE2E1C721F9BD","VERIFIED_NUMERICS","Results","F4","C10","SUPPORTED"
"SRC_C11","The real-cell model predicts a spatially nonuniform cathode current field.","results/tables/M10A4_current_distribution_statistics.csv","Results","2D871C2F86FB84205958BCFC0B13FFFEEB72937A81324953C7A282F80072E508","MODEL_EVIDENCE","Results","F4","C11","SUPPORTED_WITH_MODEL_SCOPE"
"SRC_C12","Cathode current-magnitude CV is 0.309354151871061.","results/tables/M10A4_current_distribution_statistics.csv","Results","2D871C2F86FB84205958BCFC0B13FFFEEB72937A81324953C7A282F80072E508","DERIVED_DIAGNOSTIC","Results","F4c","C12","SUPPORTED"
"SRC_C13","Charge-indexed lithium inventory is Faraday-equivalent.","results/tables/M10A4_li_faraday_ledger.csv","Results","BDCF94562D4D0AB85ED3214CD7544CE6F4D269F395245AF218EBDFE0E2BE2512","NUMERICAL_UPPER_BOUND","Results","F5","C13","SUPPORTED_WITH_LIMITATION"
"SRC_C14","The 297 C Li-equivalent thickness field has CV 0.309354151871061 at fLi=1.","results/tables/M10A4_li_faraday_ledger.csv","Results","BDCF94562D4D0AB85ED3214CD7544CE6F4D269F395245AF218EBDFE0E2BE2512","NUMERICAL_UPPER_BOUND","Results","F5","C14","SUPPORTED_WITH_LIMITATION"
