"quantity","historical_value","corrective_value","unit","identical","source_historical","source_corrective","status","notes"
"ACTIVE_AREA_MM2","3844","3844","mm2","TRUE","paper-v1-model-freeze:evidence/M10A4/M10A4_final_report.txt","evidence/M10A4/M10A4_final_report.txt","PASS","Exact string comparison; accepted scientific evidence is immutable."
"CURRENT_CONSERVATION_RELATIVE","1.80512328405505E-15","1.80512328405505E-15","1","TRUE","paper-v1-model-freeze:evidence/M10A4/M10A4_final_report.txt","evidence/M10A4/M10A4_final_report.txt","PASS","Exact string comparison; accepted scientific evidence is immutable."
"MODEL_OHMIC_RESISTANCE_OHM","11.016992179201","11.016992179201","ohm","TRUE","paper-v1-model-freeze:evidence/M10A4/M10A4_final_report.txt","evidence/M10A4/M10A4_final_report.txt","PASS","Exact string comparison; accepted scientific evidence is immutable."
"LI_CONSERVATION_RELATIVE","2.03040317664811E-09","2.03040317664811E-09","1","TRUE","paper-v1-model-freeze:evidence/M10A4/M10A4_final_report.txt","evidence/M10A4/M10A4_final_report.txt","PASS","Exact string comparison; accepted scientific evidence is immutable."
"BF4_CONSERVATION_RELATIVE","2.03040321979805E-09","2.03040321979805E-09","1","TRUE","paper-v1-model-freeze:evidence/M10A4/M10A4_final_report.txt","evidence/M10A4/M10A4_final_report.txt","PASS","Exact string comparison; accepted scientific evidence is immutable."
"J_CATH_MEAN","10.0071933411891","10.0071933411891","A/m2","TRUE","paper-v1-model-freeze:evidence/M10A4/M10A4_final_report.txt","evidence/M10A4/M10A4_final_report.txt","PASS","Exact string comparison; accepted scientific evidence is immutable."
"J_CATH_MIN","0.00837586786401057","0.00837586786401057","A/m2","TRUE","paper-v1-model-freeze:evidence/M10A4/M10A4_final_report.txt","evidence/M10A4/M10A4_final_report.txt","PASS","Exact string comparison; accepted scientific evidence is immutable."
"J_CATH_MAX","17.5829079149677","17.5829079149677","A/m2","TRUE","paper-v1-model-freeze:evidence/M10A4/M10A4_final_report.txt","evidence/M10A4/M10A4_final_report.txt","PASS","Exact string comparison; accepted scientific evidence is immutable."
"J_CATH_P10","4.50506386681454","4.50506386681454","A/m2","TRUE","paper-v1-model-freeze:evidence/M10A4/M10A4_final_report.txt","evidence/M10A4/M10A4_final_report.txt","PASS","Exact string comparison; accepted scientific evidence is immutable."
"J_CATH_P50","11.2120309101249","11.2120309101249","A/m2","TRUE","paper-v1-model-freeze:evidence/M10A4/M10A4_final_report.txt","evidence/M10A4/M10A4_final_report.txt","PASS","Exact string comparison; accepted scientific evidence is immutable."
"J_CATH_P90","12.5648964707273","12.5648964707273","A/m2","TRUE","paper-v1-model-freeze:evidence/M10A4/M10A4_final_report.txt","evidence/M10A4/M10A4_final_report.txt","PASS","Exact string comparison; accepted scientific evidence is immutable."
