"claim_id","section","claim_text","claim_type","evidence_required","model_artifact","experimental_artifact","literature_source","authority_level","current_support","allowed_wording","forbidden_wording","remaining_gap"
"C01","Methods","The M01 flow operator reproduces analytical fully developed flow and mass balance.","NUMERICAL_VERIFICATION","analytic and conservation gates","results/tables/M01_2_flow_analytic.csv","","","VERIFIED_OPERATOR","SUPPORTED","the numerically verified flow operator","experimentally validated real-cell flow","none for numerical operator; real-cell validation separate"
"C02","Methods","The M02 conservative transport operator passes diffusion, MMS, and species-balance gates.","NUMERICAL_VERIFICATION","transport regression tables","results/tables/M02_2_mms_convergence.csv","","","VERIFIED_OPERATOR","SUPPORTED","the numerically verified transport operator","experimentally validated real-cell concentrations","real-cell concentration measurements"
"C03","Methods","The M03 current and Faraday operators close their numerical ledgers.","NUMERICAL_VERIFICATION","current/Faraday tables","results/tables/M03A_3_current_conservation.csv","","","VERIFIED_OPERATOR","SUPPORTED","the numerically verified current/Faraday operators","validated real-cell electrochemistry","independent electrochemical comparison"
"C04","Geometry","The model uses accepted real CAD ancestry and named selections.","REAL_GEOMETRY_FACT","geometry authority and inventories","results/tables/M10_preA4_geometry_authority.csv","","","REAL_CAD","SUPPORTED","real-CAD geometry ancestry","every local dimension experimentally metrologized","additional metrology where required"
"C05","Geometry","The authoritative reaction-plane area is 3844 mm2.","REAL_GEOMETRY_FACT","area audit","results/tables/M10A4_electrochemical_area_audit.csv","","","REAL_CAD","SUPPORTED","3844 mm2 electrolyte/GDE interface","60x60 mm SSC cut used as active area","none for frozen definition"
"C06","Results","The accepted real-cell flow field is nonuniform and conservative.","REAL_CELL_MODEL_PREDICTION","M10A3 flow evidence","results/tables/M10A3_N2_H2_flow_comparison.csv","","","MODEL_EVIDENCE","SUPPORTED_WITH_MODEL_SCOPE","the real-cell model predicts flow nonuniformity","the reactor flow was experimentally validated","flow imaging or pressure/flow validation"
"C07","Results","The model resolves spatial N2 availability.","REAL_CELL_MODEL_PREDICTION","M10A3 fields/conservation","evidence/M10A3/n2_dissolved_real.png","","","MODEL_EVIDENCE","SUPPORTED_WITH_MODEL_SCOPE","modeled N2 availability","experimentally validated local N2 map","spatial concentration measurements"
"C08","Results","The donor field is a generic availability diagnostic.","PROVISIONAL_SENSITIVITY_RESULT","M10A3 donor field","evidence/M10A3/proton_donor_real.png","","","PROVISIONAL","SUPPORTED_WITH_LIMITATION","generic proton-donor availability field","experimentally validated local ethanol concentration","donor-specific calibration"
"C09","Results","Reduced Li+/BF4- transport is conservative and electroneutral.","NUMERICAL_VERIFICATION","species ledger","results/tables/M10A4_ionic_species_conservation.csv","","","VERIFIED_NUMERICS","SUPPORTED","effective electroneutral binary-ion transport closes its ledgers","experimentally calibrated ion transport","D_salt and t_plus measurements"
"C10","Results","The accepted current operator closes conservation to 1.80512328405505E-15.","NUMERICAL_VERIFICATION","charge ledger","results/tables/M10A4_charge_conservation.csv","","","VERIFIED_NUMERICS","SUPPORTED","the numerically verified current operator closes current conservation","the real reactor current distribution is experimentally validated","independent spatial current validation"
