"run_id","completion_marker","process_exit_status","solver_status","fatal_classification","accepted_for_formal_results","reason"
"20260718_144603","ABSENT","NOT_RECORDED","NOT_STARTED_OR_NOT_RECORDED","INCOMPLETE_ATTEMPT","FALSE","PowerShell preflight evidence retained; no accepted COMSOL completion evidence"
"20260718_144614","ABSENT","NOT_RECORDED","NOT_STARTED_OR_NOT_RECORDED","INCOMPLETE_ATTEMPT","FALSE","PowerShell preflight evidence retained; no accepted COMSOL completion evidence"
"20260718_144705","ABSENT","NONZERO_OR_ABORTED","FAILED_ATTEMPT","LU_OUT_OF_MEMORY","FALSE","Preserved COMSOL log reports LU factorization out of memory"
"20260718_145057","ABSENT","NONZERO_OR_ABORTED","FAILED_ATTEMPT","LU_OUT_OF_MEMORY","FALSE","Preserved COMSOL log reports LU factorization out of memory"
"20260718_145541","PRESENT","0_INFERRED_FROM_DRIVER_CONTINUATION","CD_ONLY_SUPERSEDED","NONE_IN_RETAINED_LOG","FALSE","Preserved successful cd-only attempt did not execute current-run full TDS closure"
"20260718_185218","ABSENT","NONZERO","NOT_STARTED","WINDOWS_ENVIRONMENT_DUPLICATE_PATH","FALSE","Preserved infrastructure attempt stopped before COMSOL because PowerShell Start-Process rejected duplicate Path and PATH keys"
"20260718_185324","ABSENT","NONZERO","NOT_STARTED","POWERSHELL5_TOKENIZATION","FALSE","Preserved pre-COMSOL attempt stopped while constructing canonical resolved inputs because a property comparison lacked required token spacing"
"20260718_185432","ABSENT","TERMINATED_STALLED_COMPILER","NOT_STARTED","COMSOLCOMPILE_HIDDEN_SECURITY_PROMPT","FALSE","Preserved pre-solver attempt; builder comsolcompile stalled before isolated full-permission prefs were supplied"
"20260718_190243","ABSENT","0","JAVA_PRE_SOLVE_REJECTED","CANONICAL_TARGET_VALIDATION","FALSE","Preserved Java batch rejected mismatched expected target name for resolved electrolyte resistance before geometry or solve"
"20260718_190415","ABSENT","0","FAILED_ATTEMPT","RECOVERY_SAVEPOINT_PATH_UNAVAILABLE","FALSE","Preserved full-physics compile attempt failed because COMSOL recovery savepoint still targeted inaccessible user recovery directory"
"20260718_190709","ABSENT","0_WITH_COMSOL_ERROR","FAILED_ATTEMPT","RECOVERY_PATH_PREF_DECODE_ERROR","FALSE","Preserved model-load attempt; absolute isolated recovery path was decoded incorrectly by COMSOL preferences"
"20260718_191024","ABSENT","0_WITH_COMSOL_ERROR","FAILED_ATTEMPT","PREFSDIR_UNDERSCORE_DECODE_ERROR","FALSE","Preserved model-load attempt; blank recovery preference still inherited underscored workspace prefsdir and was decoded as spaces"
"20260718_191313","ABSENT","0_WITH_COMSOL_ERROR","FAILED_ATTEMPT","SANDBOX_RECOVERY_WRITE_DENIED","FALSE","Preserved model-load attempt; correctly decoded isolated recovery directory was denied by nested COMSOL sandbox boundary"
"20260718_191607","ABSENT","0_WITH_COMSOL_ERROR","FAILED_ATTEMPT","EXTERNAL_CLASS_RECOVERY_DIRECTORY_OPEN_ERROR","FALSE","Preserved model-load attempt; external-class bridge still opened default recovery directory until explicit batch recovery flags were added"
"20260718_191852","ABSENT","0_WITH_COMSOL_ERROR","FAILED_ATTEMPT","RECOVERY_STORE_ROLE_CONFLICT","FALSE","Preserved model-load attempt; explicit recoverydir incorrectly reused the prefs comsol.recoveries management directory"
"20260718_192059","ABSENT","0_WITH_COMSOL_ERROR","FAILED_ATTEMPT","ACTUAL_TDS_CLOSURE_THRESHOLD","FALSE","Preserved full seven-case coupled solve; parameter responses passed but coarse-mesh actual TDS boundary-flux and inlet/outlet closure did not satisfy formal thresholds"
"20260718_193033","ABSENT","0_WITH_COMSOL_ERROR","FAILED_ATTEMPT","ACTUAL_TDS_CLOSURE_THRESHOLD","FALSE","Preserved full seven-case coupled solve with accurate boundary-flux reconstruction; closure improved but default stationary tolerance was insufficient for the trace-species flux scale"
"20260718_193345","PRESENT","0","FULL_SPF_TDS_CD_SOLVED","POSTPROCESS_POWERSHELL_PARSE_ERROR","FALSE","Preserved full seven-case tight-tolerance solve passed all scientific thresholds and saved a staged derivative, but postprocess parsing stopped before independent reload and publication"
"20260718_193820","PRESENT","0","FULL_SPF_TDS_CD_SOLVED","POSTPROCESS_SINGLE_ROW_ARRAY_ERROR","FALSE","Preserved full seven-case tight-tolerance solve passed all scientific thresholds; strict-mode postprocess did not wrap the single closure row as an array and stopped before reload"
"20260718_194207","PRESENT","0","FULL_SPF_TDS_CD_SOLVED_RELOAD_REJECTED","RELOAD_ROUNDTRIP_PRECISION_MISMATCH","FALSE","Preserved full solve passed scientific thresholds; independent reload rejected 12-significant-digit parameter serialization because the conductivity inversion consumer was not an exact canonical-value round trip"
"20260718_194539","PRESENT","0","FULL_SPF_TDS_CD_SOLVED_AND_RELOADED","SUPERSEDED_FORMAL_RUN","FALSE","Preserved successful run superseded by provenance-complete atomic release"
"20260719_112900","PRESENT","0","FULL_SPF_TDS_CD_SOLVED_AND_RELOADED","POSTPROCESS_POWERSHELL_OPERATOR_TOKENIZATION","FALSE","Preserved full solve and complete provenance reload passed; PowerShell 5 parameter-mode operator tokenization stopped postprocess before release publication"
"20260719_113346","PRESENT","0","FULL_SPF_TDS_CD_SOLVED_AND_RELOADED","POSTPROCESS_RELEASE_MANIFEST_KEYWORD_TOKENIZATION","FALSE","Preserved full solve and complete provenance reload passed; PowerShell 5 keyword tokenization stopped initial release-manifest construction before C037 or pointer activation"
"20260719_114249","PRESENT","0","FULL_SPF_TDS_CD_SOLVED_AND_RELOADED","NONE","TRUE","All current-run formal thresholds and independent reload passed"
