"evidence_class","required_count","current_state","required_action"
"independent_EIS_raw_files","3","MISSING","acquire and preserve at least three independent raw instrument files"
"normalized_EIS_tables","3","MISSING","create row-preserving normalized tables using an explicit supported profile"
"EIS_metadata","3","MISSING","complete the exact M03A.5-compatible worksheet schema for each composite sample cell replicate key"
"fixture_resistance_evidence","1","MISSING","measure and retain traceable raw evidence"
"contact_resistance_evidence","1","MISSING","measure and retain traceable raw evidence"
"membrane_resistance_evidence","1","MISSING","measure and retain traceable raw evidence"
"other_series_resistance_evidence","1","MISSING","measure and retain traceable raw evidence"
"electrode_spacing_evidence","1","MISSING","measure and document definition"
"out_of_plane_depth_evidence","1","MISSING","measure and document definition"
"geometric_electrode_area_evidence","1","MISSING","measure and document definition"
"EIS_area_evidence","1","MISSING","measure and document area basis"
"current_density_reporting_area_evidence","1","MISSING","measure and document definition"
"direct_conductivity_evidence","1","MISSING","complete an independent measurement with raw provenance"
"versioned_exact_hash_ledger","1","MISSING","freeze final files with ordinal paths exact Int64 sizes SHA-256 time offset and tool version"
"M03A_5_formal_configuration","1","MISSING","populate unchanged formal files and run the published validator"
