"stage","commit","purpose","equations","model_artifact","verification_method","acceptance_threshold","parameter_status","current_scientific_role","superseded_content","transferable_content","non_transferable_content"
"M00","066c274","Bootstrap COMSOL automation and validate M00 geometry","Parameterized rectangle geometry; no field equations","models/generated/LiNRR_M00_geometry.mph","Named selections, serialization, GUI editability","Geometry/selection audit PASS","PROVISIONAL","Automation and geometry-methodology seed","Original geometry convention","Geometry automation logic; selection audit methodology; serialization/reload logic","Old simplified geometry dimensions"
"M00.1","066c274","M00 geometry parameterization precursor","Parameterized rectangle geometry","M00 baseline artifact","Parameter scaling and reload checks","PASS","PROVISIONAL","Verification foundation","Static geometry","Parameterized geometry logic","Old simplified geometry"
"M00.2","6af1db4","M00.2 geometry parameterization and named-selection audit","Parameterized geometry; no physics","models/generated/LiNRR_M00_2_geometry_audit.mph","Geometry scaling, selection cardinality, measures, MPH serialization, independent reload","35/35 selections PASS; positive measures; reload PASS","PROVISIONAL","Numerical verification Layer 1","Pre-parameterized M00/M00.1 geometry","Geometry automation logic, selection audit, serialization/reload","Old simplified rectangular geometry"
"M01","0767377","Validated M01 laminar flow baseline","Steady incompressible laminar Navier-Stokes","models/generated/LiNRR_M01_flow.mph","Parallel-plate analytical flow closure","Mass conservation and profile closure PASS","PROVISIONAL (rho, mu, Q)","Flow verification foundation","Initial flow model","Laminar flow implementation, mass conservation","Old geometry and provisional fluid values"
"M01.1","2eb2bb6","M01 audit and provisional M02 transport baseline","Laminar flow audit; transport scaffold","M01 flow artifact and M02 provisional baseline","Audit and provisional baseline checks","PASS","PROVISIONAL","Verification foundation bridge","Pre-audit flow","Flow audit methodology","Provisional M02 transport parameters"
"M01.2","6af1db4","M01.2 two-dimensional parallel-plate flow closure verification","Stationary single-phase Laminar Flow","models/generated/LiNRR_M01_2_flow_verification.mph","Analytical Umean, center 1.5 ratio, dp/dx, DeltaP, tau_wall, mass conservation, mesh trend","Fine-grid errors <=0.5% key metrics","PROVISIONAL","Numerical verification Layer 1","Unverified flow","Flow implementation, mass conservation, pressure-drop/wall-shear methodology, mesh methodology","Old 2D geometry; rho=900; mu=3 mPa*s; Q=1 cm3/min as experimental truth"
"M02","2eb2bb6","Provisional M02 transport baseline","Convection-diffusion transport scaffold","M02 provisional artifact","Provisional positivity/audit","PASS provisional","PROVISIONAL","Transport verification precursor","Earlier transport model","Transport operator methodology","Provisional transport coefficients and old geometry"
"M02.1","892068e","Conservative M02.1 transport and positivity audit","Conservative convection-diffusion species transport","models/generated/LiNRR_M02_1_transport_audit.mph","Flux and positivity audit","PASS provisional","PROVISIONAL","Transport verification precursor","Unconstrained transport","Conservative transport formulation, positivity audit","Old rectangular geometry and provisional coefficients"
"M02.2","8fd62f5","M02.2 conservative transport verification","Conservative species transport; convection-diffusion with manufactured/low-Da/Pe-Da benchmarks","models/generated/LiNRR_M02_2_transport_verification.mph","Uniform transport, pure diffusion, manufactured solution, low-Da wall model, Pe-Da matrix, individual N2/NH3 conservation, nitrogen closure, positivity, mesh convergence","Final-grid fine benchmarks PASS; failed/warning rows retained","PROVISIONAL","Numerical verification Layer 1","M02 provisional rectangular model","Conservative species transport, Danckwerts inlet, flux sign convention, individual species conservation, positivity audit, mesh methodology","Old rectangular geometry, DN2/DNH3 numerical values, old reaction law"
"M03A","6d8019e","Decoupled M03A primary current numerical baseline","Primary current distribution, Laplace electrolyte potential","M03A primary current baseline","Ohmic analytical closure","PASS smoke","PROVISIONAL","Current verification precursor","Earlier current scaffold","Primary current implementation, current sign convention","Old geometry and provisional kappa/I"
"M03A.1","54550f5","Provisional M03A.1 resistance calibration framework","Resistance deembedding/calibration framework","M03A.1 calibration readiness artifacts","Provisional readiness","PASS provisional","PROVISIONAL","Calibration-framework precursor","Decoupled M03A","Resistance calibration framework","Provisional calibration values"
"M03A.2","e9695b0","Formal M03A.2 synthetic EIS verification","EIS import/HFR/deembedding/uncertainty algorithms","results/tables/M03A_2_synthetic_regression.csv and related","Synthetic EIS fixtures, frequency ordering, duplicates, HFR logic, deembedding, uncertainty, negative fixtures","All synthetic regression cases expected PASS","SYNTHETIC","Experimental calibration tool verification (Layer 1)","M03A.1 provisional intake","EIS/HFR parser, HFR distinction, deembedding logic","Synthetic parameter values"
"M03A.3","9a20c34","M03A.3 prescribed-current coupling verification","Primary Current Distribution, ohmic analytical closure, Faraday current-to-flux ledger","results/tables/M03A_3_*","Integrated cathode/anode current, charge conservation, current-to-N2/NH3 stoichiometry","Charge conservation closure PASS","PROVISIONAL","Numerical verification Layer 1; bridge to A4 current","M03A smoke baseline","Primary Current Distribution, current sign convention, charge conservation, R=L/(kappa*A), Faraday current-to-flux ledger","Old geometry; kappa=0.5 S/m; I=100 mA"
"M03A.4","af99111","Provenance-complete parameter transfer dry-run","Parameter transfer contract and reload audit","results/tables/M03A_4_*","Synthetic parameter transfer, provenance, identity, uncertainty, fresh solve, independent reload","Synthetic transfer/reload PASS","SYNTHETIC/PROVISIONAL","Parameter provenance and transfer contract","Unprovenanced parameter transfer","Parameter provenance, transfer contract, uncertainty, reload audit","Synthetic/provisional parameter values"
"M03A.5","6c5fb2d","M03A.5 experimental calibration intake framework","Evidence intake validator, hash/provenance","results/tables/M03A_5_*","Tool/software regression, missing-data, negative fixtures","Tool regression PASS; no manufactured evidence","TOOL_VERIFICATION_ONLY","Evidence gate","M03A.4 dry-run-only","Experimental intake, raw-evidence preservation, hash/provenance, missing-data gates","No experimental evidence"
"M03A.6","6f4d452","M03A.6 experimental evidence acquisition framework","Evidence package validation and acquisition readiness","results/tables/M03A_6_*","Tool/software regression, hash handling, missing-data, negative fixtures","Tool regression PASS; EXPERIMENTAL_EVIDENCE_RECEIVED=FALSE","TOOL_VERIFICATION_ONLY","Evidence gate","M03A.5 intake-only","Experimental package validator, hash/provenance","No experimental evidence"
"M10A0","d32034a","Build real-CAD LiNRR cell and solved baseline flow model","Real CAD import/registration; flow baseline","models/generated/M10A0 artifacts","CAD hash gates, registration, geometry selections","Real CAD geometry PASS","LAB_MANUAL/DERIVED for geometry","Real-cell application geometry authority","M00-M03 simplified geometry","Real CAD intake, registration, derived fluid domains, named selections","None"
"M10A1","d32034a","Real-CAD flow application","Steady incompressible laminar flow in real geometry","M10A1 real-cad flow artifacts","Flow solve and structural checks","PASS baseline","PROVISIONAL/LAB_MANUAL geometry","Real-cell application flow","M01 simplified flow","Laminar flow implementation, conservation and audit methodology","Old 2D geometry and provisional fluid parameters"
"M10A2","38c20d8","Add SSC, lab tubing, and wetting transport baseline","Real geometry wetting/transport baseline","models/generated/LiNRR_M10A2_1_matched_flow_control.mph","Structural checks and numerical baseline","PASS baseline","LAB_MANUAL/PROVISIONAL","Real-cell transport precursor","M10A0 geometry-only","Real hardware/flow/transport methodology","Preliminary wetting assumptions"
