result_tag,section,role,remote_static_status,runtime_evidence,repair_action,notes
pg00_physical_cell,V00_REACTOR,MAIN_TEACHING,PRESENT,FINAL_RELOAD_PASS,KEEP_AND_REFERENCE,Final reload runs this plot
pg_n2_velocity,V01_FLOW,MAIN_TEACHING,PRESENT,USER_OBSERVED_EMPTY_FINAL_MPH,REBUILD_FROM_CANONICAL_DATASET,dset_n2_solution; real N2 channel
pg_n2_pressure,V01_FLOW,MAIN_TEACHING,PRESENT,NOT_FINAL_RELOAD_GATED,REBUILD_FROM_CANONICAL_DATASET,dset_n2_solution
pg_h2_velocity,V90_SI_SUPPORT,SI_SUPPORT,PRESENT,NOT_FINAL_RELOAD_GATED,RUNTIME_AUDIT_THEN_KEEP,H2 scaffold
pg_h2_pressure,V90_SI_SUPPORT,SI_SUPPORT,PRESENT,NOT_FINAL_RELOAD_GATED,RUNTIME_AUDIT_THEN_KEEP,H2 scaffold
pg_n2_gas_conc,V02_SPECIES,MAIN_TEACHING,PRESENT,NOT_FINAL_RELOAD_GATED,REBUILD_FROM_CANONICAL_DATASET,dset_species_n2_gas cN2g
pg_n2_dissolved_real,V02_SPECIES,MAIN_TEACHING,PRESENT,USER_REPORTED_SPECIES_EMPTY_IN_FINAL_MPH,REBUILD_FROM_CANONICAL_DATASET,dset_species_liq_n2 cN2d
pg_n2_availability,V02_SPECIES,MAIN_TEACHING,PRESENT,NOT_FINAL_RELOAD_GATED,REBUILD_REACTION_PLANE_VIEW,real cathode interface
pg_n2_flux_real,V90_SI_SUPPORT,SI_SUPPORT,PRESENT,NOT_FINAL_RELOAD_GATED,RUNTIME_AUDIT_THEN_KEEP,homogenized thin-layer flux
pg_n2_transport_resistance,V90_SI_SUPPORT,SI_SUPPORT,PRESENT,NOT_FINAL_RELOAD_GATED,RUNTIME_AUDIT_THEN_KEEP,homogenized SSC sensitivity
pg_n2_reaction_uniformity,V02_SPECIES,MAIN_SUPPORT,PRESENT,NOT_FINAL_RELOAD_GATED,REBUILD_REACTION_PLANE_VIEW,real interface diagnostic
pg_h2_gas_conc,V90_SI_SUPPORT,SI_SUPPORT,PRESENT,NOT_FINAL_RELOAD_GATED,RUNTIME_AUDIT_THEN_KEEP,H2 scaffold
pg_h2_availability,V90_SI_SUPPORT,SI_SUPPORT,PRESENT,NOT_FINAL_RELOAD_GATED,RUNTIME_AUDIT_THEN_KEEP,PtAuSSC availability scaffold
pg_h2_transport_resistance,V90_SI_SUPPORT,SI_SUPPORT,PRESENT,NOT_FINAL_RELOAD_GATED,RUNTIME_AUDIT_THEN_KEEP,reduced porous-interface scaffold
pg_donor_real,V02_SPECIES,MAIN_TEACHING,PRESENT,USER_REPORTED_SPECIES_EMPTY_IN_FINAL_MPH,REBUILD_FROM_CANONICAL_DATASET,generic donor; calibration required
pg_nh3_real,V90_SI_SUPPORT,SI_SUPPORT,PRESENT,NOT_FINAL_RELOAD_GATED,RUNTIME_AUDIT_THEN_KEEP,NUMERICAL_VERIFICATION_ONLY prescribed source
pg_tracer_real,V90_SI_SUPPORT,SI_SUPPORT,PRESENT,NOT_FINAL_RELOAD_GATED,RUNTIME_AUDIT_THEN_KEEP,real-cell RTD support
pg_nh3_downstream,V90_SI_SUPPORT,SI_SUPPORT,PRESENT,NOT_FINAL_RELOAD_GATED,RUNTIME_AUDIT_THEN_KEEP,reduced equivalent downstream
pg_nh3_breakthrough,V90_SI_SUPPORT,SI_SUPPORT,PRESENT,NOT_FINAL_RELOAD_GATED,RUNTIME_AUDIT_THEN_KEEP,reduced equivalent downstream
pg_nh3_inventory,V90_SI_SUPPORT,SI_SUPPORT,PRESENT,NOT_FINAL_RELOAD_GATED,RUNTIME_AUDIT_THEN_KEEP,reduced equivalent downstream
pg01_physical_exploded,V00_REACTOR,MAIN_TEACHING,PRESENT,M10A2R_PHYSICAL_VIEW_HISTORICALLY_VALIDATED,KEEP_AND_REEXPORT,DISPLAY SCALE ONLY
pg02_gas_connections,V00_REACTOR,MAIN_SUPPORT,PRESENT,M10A2R_PHYSICAL_VIEW_HISTORICALLY_VALIDATED,KEEP_AND_REEXPORT,No unverified internal PEEK routing
pg03_n2_channel,V00_REACTOR,MAIN_SUPPORT,PRESENT,M10A2R_PHYSICAL_VIEW_HISTORICALLY_VALIDATED,KEEP_AND_REEXPORT,real N2 channel geometry
pg04_h2_channel,V90_SI_SUPPORT,SI_SUPPORT,PRESENT,M10A2R_PHYSICAL_VIEW_HISTORICALLY_VALIDATED,KEEP_AND_REEXPORT,real mirrored H2 channel
pg05_electrolyte,V00_REACTOR,MAIN_SUPPORT,PRESENT,M10A2R_PHYSICAL_VIEW_HISTORICALLY_VALIDATED,KEEP_AND_REEXPORT,real electrolyte chamber
pg06_ssc_true_scale,V00_REACTOR,MAIN_SUPPORT,PRESENT,M10A2R_PHYSICAL_VIEW_HISTORICALLY_VALIDATED,KEEP_AND_REEXPORT,physical SSC true scale; literature same platform thickness
pg_liq_velocity,V01_FLOW,MAIN_TEACHING,PRESENT,M10A1_1_HISTORIC_RELOAD_PASS_NOT_FINAL_GATED,REBUILD_FROM_CANONICAL_DATASET,dset_liq_solution
pg_liq_pressure,V01_FLOW,MAIN_TEACHING,PRESENT,M10A1_1_HISTORIC_RELOAD_PASS_NOT_FINAL_GATED,REBUILD_FROM_CANONICAL_DATASET,dset_liq_solution
pg_liq_streamlines,V01_FLOW,MAIN_TEACHING,PRESENT,M10A1_1_HISTORIC_RELOAD_PASS_NOT_FINAL_GATED,REBUILD_FROM_CANONICAL_DATASET,seed from real liquid inlet
pg_liq_wall_shear,V90_SI_SUPPORT,SI_SUPPORT,PRESENT,M10A1_1_HISTORIC_RELOAD_PASS_NOT_FINAL_GATED,RUNTIME_AUDIT_THEN_KEEP,native traction repair existed historically
pg_n2_streamlines,V01_FLOW,MAIN_TEACHING,PRESENT,M10A1_1_HISTORIC_RELOAD_PASS_NOT_FINAL_GATED,REBUILD_FROM_CANONICAL_DATASET,seed from real N2 inlet
pg_n2_wall_shear,V90_SI_SUPPORT,SI_SUPPORT,PRESENT,M10A1_1_HISTORIC_RELOAD_PASS_NOT_FINAL_GATED,RUNTIME_AUDIT_THEN_KEEP,native traction repair existed historically
pg_pipe_dp,V90_SI_SUPPORT,SI_SUPPORT,PRESENT,M10A2R_REDUCED_VIEW_HISTORICALLY_VALIDATED,RUNTIME_AUDIT_THEN_KEEP,1D reduced engineering model
pg_ssc_dp,V90_SI_SUPPORT,SI_SUPPORT,PRESENT,M10A2R_REDUCED_VIEW_HISTORICALLY_VALIDATED,RUNTIME_AUDIT_THEN_KEEP,reduced through-plane Darcy
pg_ssc_velocity,V90_SI_SUPPORT,SI_SUPPORT,PRESENT,M10A2R_REDUCED_VIEW_HISTORICALLY_VALIDATED,RUNTIME_AUDIT_THEN_KEEP,reduced through-plane Darcy
pg_ssc_sl,V90_SI_SUPPORT,SI_SUPPORT,PRESENT,M10A2R_REDUCED_VIEW_HISTORICALLY_VALIDATED,RUNTIME_AUDIT_THEN_KEEP,reduced wetting
pg_ssc_sg,V90_SI_SUPPORT,SI_SUPPORT,PRESENT,USER_OBSERVED_EMPTY_FINAL_MPH,RUNTIME_AUDIT_REPAIR_IF_SOURCE_VALID,reduced gas saturation
pg_penetration,V90_SI_SUPPORT,SI_SUPPORT,PRESENT,M10A2R_REDUCED_VIEW_HISTORICALLY_VALIDATED,RUNTIME_AUDIT_THEN_KEEP,reduced wetting
pg_flood_front,V90_SI_SUPPORT,SI_SUPPORT,PRESENT,M10A2R_REDUCED_VIEW_HISTORICALLY_VALIDATED,RUNTIME_AUDIT_THEN_KEEP,reduced wetting
pg_n2_conc,V90_SI_SUPPORT,SI_SUPPORT,PRESENT,NOT_FINAL_RELOAD_GATED,BLOCK_IF_DEPENDS_ON_EMPTY_SELECTION,reduced phenomenological N2 transfer
pg_n2_flux,V90_SI_SUPPORT,SI_SUPPORT,PRESENT,NOT_FINAL_RELOAD_GATED,BLOCK_IF_DEPENDS_ON_EMPTY_SELECTION,reduced phenomenological N2 transfer
pg_a4a_electrolyte_potential,V03_IONICS,MAIN_TEACHING,PRESENT,FINAL_RELOAD_PASS,KEEP_OR_DUPLICATE_PRESENTATION,not full-cell voltage
pg_a4a_ionic_current_mag,V90_ARCHIVE,INTERMEDIATE_SUPPORT,PRESENT,NOT_FINAL_RELOAD_GATED,ARCHIVE_OR_SI,A4A support superseded by accepted A4B ionic current identity
pg_a4a_cathode_current,V90_ARCHIVE,INTERMEDIATE_SUPPORT,PRESENT,NOT_FINAL_RELOAD_GATED,ARCHIVE_OR_SI,A4A support
pg_a4a_anode_current,V90_ARCHIVE,INTERMEDIATE_SUPPORT,PRESENT,NOT_FINAL_RELOAD_GATED,ARCHIVE_OR_SI,A4A support
pg_a4a_ohmic_heating,V90_SI_SUPPORT,SI_SUPPORT,PRESENT,NOT_FINAL_RELOAD_GATED,RUNTIME_AUDIT_THEN_KEEP,no thermal feedback
pg_a4b_li_conc,V03_IONICS,MAIN_TEACHING,PRESENT,FINAL_RELOAD_PASS,KEEP_OR_DUPLICATE_PRESENTATION,provisional sensitivity
