"limitation_id","model_element","limitation","source_class","impact","what_can_be_claimed","what_cannot_be_claimed","required_future_evidence","paper_section"
"L01","electrolyte conductivity","Not experimentally calibrated for the current run.","PROVISIONAL_SENSITIVITY","Absolute potential loss and resistance depend on kappa.","provisional ohmic sensitivity","experimentally validated resistance/full-cell voltage","run-specific conductivity and EIS","Methods; Limitations"
"L02","effective salt diffusivity","D_salt is provisional.","CALIBRATION_REQUIRED","Controls polarization magnitude.","effective-transport sensitivity","quantitative ion-transport validation","diffusivity measurement or fit to independent data","Methods; Limitations"
"L03","transference number","t_plus=0.5 is provisional.","CALIBRATION_REQUIRED","Controls Li/BF4 flux partition.","electroneutral sensitivity result","measured species partition","transference measurement","Methods; Limitations"
"L04","donor transport","Frozen field is GENERIC DONOR.","CALIBRATION_REQUIRED","Cannot resolve local ethanol kinetics.","generic donor availability","validated local ethanol concentration","donor-specific properties and measurements","Results; Limitations"
"L05","SEI","No microscopic SEI physics.","OUT_OF_SCOPE","SEI effects cannot be interpreted mechanistically.","SEI is outside scope","SEI mechanism confirmed","dedicated validated SEI model","Limitations"
"L06","Li3N","No Li3N kinetics.","OUT_OF_SCOPE","No Li3N formation/rate inference.","Li3N is outside scope","Li3N mechanism confirmed","phase-specific kinetics and evidence","Limitations"
"L07","Li-NRR","No elementary Li-NRR kinetics.","OUT_OF_SCOPE","No mechanistic rate prediction.","transport/current diagnostics","Li-NRR reaction-rate map","validated kinetic network","Limitations"
"L08","HER/HOR","No HER/HOR partition.","OUT_OF_SCOPE","No selectivity attribution.","side reactions are outside scope","HER selectivity prediction or HOR kinetics prediction","validated competing kinetics","Limitations"
"L09","FE","No FE model.","OUT_OF_SCOPE","No FE prediction.","Faraday-equivalent inventory","predicted FE or FE map","independent products and current partition","Limitations"
"L10","NH3 production","No NH3 kinetic production model.","OUT_OF_SCOPE","No quantitative NH3 rate.","spatial co-limitation diagnostic","NH3 rate map or NH3 production map","validated kinetics and product data","Limitations"
"L11","retained lithium","Li-equivalent thickness is not retained Li.","NUMERICAL_UPPER_BOUND","May overstate retained metal.","Faraday-equivalent upper bound/sensitivity","real Li thickness or predicted Li thickness","retained-Li mass and morphology data","Results; Limitations"
"L12","cell voltage","Only electrolyte ohmic loss is derived.","DERIVED_DIAGNOSTIC","Electrode/contact/kinetic losses absent.","electrolyte ohmic diagnostic","full-cell voltage prediction","complete calibrated loss model","Limitations"
"L13","mesh","Coarse comparison differs by 6.214% at limiting metric.","PASS_WITH_LIMITATION","Category fraction has residual discretization sensitivity.","medium mesh authoritative with limitation","unqualified mesh independence","additional refinement","Robustness"
"L14","reference capillary mapping","Reaction-plane mapping unavailable where source provenance is insufficient.","NOT_CREATED_INSUFFICIENT_EXISTING_EVIDENCE","No capillary causal diagnostic.","supported reaction-plane associations only","reference-capillary causal claim","compatible mapped field/evidence","Limitations"
"L15","mechanism inference","Continuum fields do not prove microscopic mechanism.","DIAGNOSTIC_ONLY","Spatial association is non-causal.","spatial association and co-limitation","mechanistic proof","targeted perturbation and mechanistic validation","Discussion; Limitations"
