sample_id,replicate_id,case_id,case_type,file_path,data_origin,frequency_unit,impedance_unit,temperature_K,electrolyte_composition,water_content,instrument,perturbation_amplitude_V,dc_bias_V,measurement_date,area_basis,EIS_area_m2,intercept_method,equivalent_circuit,source_reference,status,notes,expected_outcome,expected_hfr_ohm,fitting_software,fit_file,Rs_ohm,Rs_standard_error_ohm,fit_quality_metric,fit_quality_value,fixture_group,rs_fixture_ohm,rct_ohm,capacitance_F,noise_seed,noise_sigma_ohm,max_frequency_Hz,point_count,accuracy_threshold_relative
S_C001,R1,C001,PURE_RESISTOR,tests/fixtures/M03A_2/C001_pure_resistor.csv,SYNTHETIC,Hz,ohm,298.15,SYNTHETIC_ELECTROLYTE,NOT_APPLICABLE,SYNTHETIC_GENERATOR,0.01,0,NOT_APPLICABLE,geometric_electrode_area,0.003025,HIGH_FREQUENCY_INTERCEPT,,M03A2_SYNTHETIC_CONTRACT,SYNTHETIC_FIXTURE,fixed-definition pure resistor,PASS,2,,,,,,,NONE,2,0,0,,,1000000,41,0.001
S_C002,R1,C002,IDEAL_RANDLES_NOISE_FREE,tests/fixtures/M03A_2/C002_ideal_randles_noise_free.csv,SYNTHETIC,Hz,ohm,298.15,SYNTHETIC_ELECTROLYTE,NOT_APPLICABLE,SYNTHETIC_GENERATOR,0.01,0,NOT_APPLICABLE,geometric_electrode_area,0.003025,HIGH_FREQUENCY_INTERCEPT,Rs + (Rct || Cdl),M03A2_SYNTHETIC_CONTRACT,SYNTHETIC_FIXTURE,fixed-definition Randles,PASS,2,,,,,,,NONE,2,8,0.001,,,1000000,61,0.01
S_C003,R1,C003,IDEAL_RANDLES_FIXED_SEED_NOISE,tests/fixtures/M03A_2/C003_ideal_randles_fixed_seed_noise.csv,SYNTHETIC,Hz,ohm,298.15,SYNTHETIC_ELECTROLYTE,NOT_APPLICABLE,SYNTHETIC_GENERATOR,0.01,0,NOT_APPLICABLE,geometric_electrode_area,0.003025,HIGH_FREQUENCY_INTERCEPT,Rs + (Rct || Cdl),M03A2_SYNTHETIC_CONTRACT,SYNTHETIC_FIXTURE,fixed-seed noise,PASS,2,,,,,,,NONE,2,8,0.001,271828,0.005,1000000,61,0.03
S_C004,R1,C004,RS_RCT_CPE,tests/fixtures/M03A_2/C004_rs_rct_cpe.csv,SYNTHETIC,Hz,ohm,298.15,SYNTHETIC_ELECTROLYTE,NOT_APPLICABLE,SYNTHETIC_GENERATOR,0.01,0,NOT_APPLICABLE,geometric_electrode_area,0.003025,HIGH_FREQUENCY_INTERCEPT,Rs + (Rct || CPE),M03A2_SYNTHETIC_CONTRACT,SYNTHETIC_FIXTURE,CPE is method-dependent,METHOD_DEPENDENT_PROVISIONAL,1.5,,,,,,,NONE,1.5,6,0.0008,,,1000000,61,
S_C005,R1,C005,INSUFFICIENT_HIGH_FREQUENCY_COVERAGE,tests/fixtures/M03A_2/C005_insufficient_hf.csv,SYNTHETIC,Hz,ohm,298.15,SYNTHETIC_ELECTROLYTE,NOT_APPLICABLE,SYNTHETIC_GENERATOR,0.01,0,NOT_APPLICABLE,geometric_electrode_area,0.003025,HIGH_FREQUENCY_INTERCEPT,Rs + (Rct || Cdl),M03A2_SYNTHETIC_CONTRACT,SYNTHETIC_FIXTURE,low maximum frequency,BLOCKED_INSUFFICIENT_HIGH_FREQUENCY_COVERAGE,2,,,,,,,NONE,2,8,0.001,,,1000,31,
S_C006,R1,C006,HIGH_FREQUENCY_INDUCTIVE_ARTIFACT,tests/fixtures/M03A_2/C006_hf_inductive.csv,SYNTHETIC,Hz,ohm,298.15,SYNTHETIC_ELECTROLYTE,NOT_APPLICABLE,SYNTHETIC_GENERATOR,0.01,0,NOT_APPLICABLE,geometric_electrode_area,0.003025,HIGH_FREQUENCY_INTERCEPT,Rs + (Rct || Cdl),M03A2_SYNTHETIC_CONTRACT,SYNTHETIC_FIXTURE,deliberate inductive artifact,WARNING_HIGH_FREQUENCY_INDUCTIVE_ARTIFACT,2,,,,,,,NONE,2,8,0.001,,,1000000,61,0.05
S_C007,R1,C007,DUPLICATE_FREQUENCY,tests/fixtures/M03A_2/C007_duplicate_frequency.csv,SYNTHETIC,Hz,ohm,298.15,SYNTHETIC_ELECTROLYTE,NOT_APPLICABLE,SYNTHETIC_GENERATOR,0.01,0,NOT_APPLICABLE,geometric_electrode_area,0.003025,HIGH_FREQUENCY_INTERCEPT,Rs + (Rct || Cdl),M03A2_SYNTHETIC_CONTRACT,SYNTHETIC_FIXTURE,duplicate retained,WARNING_DUPLICATE_FREQUENCY,2,,,,,,,NONE,2,8,0.001,,,1000000,61,0.05
S_C008,R1,C008,INVALID_NUMERIC_DATA_NAN,tests/fixtures/M03A_2/C008_invalid_nan.csv,SYNTHETIC,Hz,ohm,298.15,SYNTHETIC_ELECTROLYTE,NOT_APPLICABLE,SYNTHETIC_GENERATOR,0.01,0,NOT_APPLICABLE,geometric_electrode_area,0.003025,HIGH_FREQUENCY_INTERCEPT,,M03A2_SYNTHETIC_CONTRACT,SYNTHETIC_FIXTURE,NaN blocked,BLOCKED_INVALID_NUMERIC_DATA,2,,,,,,,NONE,2,8,0.001,,,1000000,31,
S_C009,R1,C009,INVALID_NUMERIC_DATA_INF,tests/fixtures/M03A_2/C009_invalid_inf.csv,SYNTHETIC,Hz,ohm,298.15,SYNTHETIC_ELECTROLYTE,NOT_APPLICABLE,SYNTHETIC_GENERATOR,0.01,0,NOT_APPLICABLE,geometric_electrode_area,0.003025,HIGH_FREQUENCY_INTERCEPT,,M03A2_SYNTHETIC_CONTRACT,SYNTHETIC_FIXTURE,infinity blocked,BLOCKED_INVALID_NUMERIC_DATA,2,,,,,,,NONE,2,8,0.001,,,1000000,31,
S_C010,R1,C010,INVALID_NUMERIC_DATA_EMPTY,tests/fixtures/M03A_2/C010_invalid_empty.csv,SYNTHETIC,Hz,ohm,298.15,SYNTHETIC_ELECTROLYTE,NOT_APPLICABLE,SYNTHETIC_GENERATOR,0.01,0,NOT_APPLICABLE,geometric_electrode_area,0.003025,HIGH_FREQUENCY_INTERCEPT,,M03A2_SYNTHETIC_CONTRACT,SYNTHETIC_FIXTURE,blank blocked,BLOCKED_INVALID_NUMERIC_DATA,2,,,,,,,NONE,2,8,0.001,,,1000000,31,
S_C011,R1,C011,INVALID_NUMERIC_DATA_STRING,tests/fixtures/M03A_2/C011_invalid_string.csv,SYNTHETIC,Hz,ohm,298.15,SYNTHETIC_ELECTROLYTE,NOT_APPLICABLE,SYNTHETIC_GENERATOR,0.01,0,NOT_APPLICABLE,geometric_electrode_area,0.003025,HIGH_FREQUENCY_INTERCEPT,,M03A2_SYNTHETIC_CONTRACT,SYNTHETIC_FIXTURE,string blocked,BLOCKED_INVALID_NUMERIC_DATA,2,,,,,,,NONE,2,8,0.001,,,1000000,31,
S_C012,R1,C012,UNSORTED_FREQUENCY,tests/fixtures/M03A_2/C012_unsorted_frequency.csv,SYNTHETIC,Hz,ohm,298.15,SYNTHETIC_ELECTROLYTE,NOT_APPLICABLE,SYNTHETIC_GENERATOR,0.01,0,NOT_APPLICABLE,geometric_electrode_area,0.003025,HIGH_FREQUENCY_INTERCEPT,Rs + (Rct || Cdl),M03A2_SYNTHETIC_CONTRACT,SYNTHETIC_FIXTURE,sorting regression,PASS,2,,,,,,,NONE,2,8,0.001,,,1000000,61,0.05
S_AGREE,R1,C013,REPLICATE_CONSENSUS_AGREE,tests/fixtures/M03A_2/C013_replicate_agree_1.csv,SYNTHETIC,Hz,ohm,298.15,SYNTHETIC_ELECTROLYTE,NOT_APPLICABLE,SYNTHETIC_GENERATOR,0.01,0,NOT_APPLICABLE,geometric_electrode_area,0.003025,HIGH_FREQUENCY_INTERCEPT,Rs + (Rct || Cdl),M03A2_SYNTHETIC_CONTRACT,SYNTHETIC_FIXTURE,agree replicate 1,PASS,2,,,,,,,AGREE,2,8,0.001,,,1000000,61,0.05
S_AGREE,R2,C014,REPLICATE_CONSENSUS_AGREE,tests/fixtures/M03A_2/C014_replicate_agree_2.csv,SYNTHETIC,Hz,ohm,298.15,SYNTHETIC_ELECTROLYTE,NOT_APPLICABLE,SYNTHETIC_GENERATOR,0.01,0,NOT_APPLICABLE,geometric_electrode_area,0.003025,HIGH_FREQUENCY_INTERCEPT,Rs + (Rct || Cdl),M03A2_SYNTHETIC_CONTRACT,SYNTHETIC_FIXTURE,agree replicate 2,PASS,2.02,,,,,,,AGREE,2.02,8,0.001,,,1000000,61,0.05
