"item","value","status","reason"
"SYNTHETIC_PARAMETER_TRANSFER_PASS","TRUE","PASS","actual combined COMSOL integration result"
"EXPERIMENTAL_EIS_COMPLETE","FALSE","EXPERIMENTAL_INPUT_INCOMPLETE","no real EIS file supplied"
"REPLICATE_CONSENSUS_ACCEPTED","FALSE","EXPERIMENTAL_INPUT_INCOMPLETE","synthetic consensus is not experimental evidence"
"SERIES_RESISTANCE_LEDGER_COMPLETE","FALSE","EXPERIMENTAL_INPUT_INCOMPLETE","experimental series ledger missing"
"DEEMBEDDED_RESISTANCE_POSITIVE","FALSE","EXPERIMENTAL_INPUT_INCOMPLETE","experimental de-embedding unavailable"
"AREA_MAPPING_COMPLETE","FALSE","EXPERIMENTAL_INPUT_INCOMPLETE","experimental area mapping unavailable"
"ELECTRODE_SPACING_MEASURED","FALSE","EXPERIMENTAL_INPUT_INCOMPLETE","experimental spacing absent"
"DIRECT_CONDUCTIVITY_AVAILABLE","FALSE","EXPERIMENTAL_INPUT_INCOMPLETE","experimental direct conductivity absent"
"CONDUCTIVITY_CONFLICT_RESOLVED","FALSE","EXPERIMENTAL_INPUT_INCOMPLETE","no experimental comparison"
"UNCERTAINTY_PROPAGATION_COMPLETE","FALSE","EXPERIMENTAL_INPUT_INCOMPLETE","experimental uncertainties absent"
"EXPERIMENTAL_PARAMETER_TRANSFER_PASS","FALSE","EXPERIMENTAL_INPUT_INCOMPLETE","synthetic dry-run cannot satisfy experimental gate"
"M03B_READY","FALSE","PASS","M03A.4 does not authorize M03B"
